# Result of the experimentation: segment4.arg

# With args:
# --> x_size = 100
# --> y_size = 200
# --> init_time_step = 1e-08
# --> space_step = 0.001
# --> CBL_cond = 100
# --> iter_number_solver = 1003
# --> iter_number_profiler = 1
# --> nb_of_threads = 12
# --> ->nb_pts = 3
# --> ->abs = 39
# --> ->abs = 129
# --> ->abs = 199
# --> ->ord = 89
# --> ->ord = 89
# --> ->ord = 89
# --> init_cond_type = 1
# --> iter_number_evol_chamber = 1000
# --> differential_equation_solver_algo = 4
# --> VDW_a_coef = 0
# --> VDW_b_coef = 0
# --> thermal_conduction = 1
# --> lambda = 0.6
# --> mol_mass = 0.018
# --> dyn_visc = 1e-06
# --> init_chamber_pressure = 200000
# --> init_chamber_temperature = 2000
# --> init_chamber_speed = 0
# --> init_chamber_turb_en = 1e-05
# --> init_chamber_turb_dis = 1e-05
# --> init_atmosphere_pressure = 124000
# --> init_atmosphere_temperature = 300
# --> init_atmosphere_speed = 0
# --> init_atmosphere_turb_en = 1e-06
# --> init_atmosphere_turb_dis = 1e-06

#              time         time_step            thrust      max pressure   max temperature      max vol_mass        max speed0        max speed1       max turb_en      max turb_dis

           5.4e-07             1e-08    -1.552287e-194            128028             390.1         0.8948996      5.094586e-09         0.2978427         1.477e-06         1.477e-06
           5.5e-07             1e-08    -2.539149e-193          124004.1          300.0015         0.8949009      5.375873e-09         0.3207517       1.00003e-06      1.000043e-06
           5.6e-07             1e-08    -4.187101e-194            128180             393.5         0.8949024      5.678536e-09         0.3207291         1.495e-06         1.495e-06
           5.7e-07             1e-08     3.507122e-193          124004.6          300.0017         0.8949038      5.981157e-09         0.3444847      1.000034e-06      1.000049e-06
           5.8e-07             1e-08      1.06576e-192            128332             396.9         0.8949054      6.305943e-09         0.3444593         1.513e-06         1.513e-06
           5.9e-07             1e-08    -1.385221e-192          124005.1           300.002         0.8949069       6.63068e-09         0.3690613      1.000039e-06      1.000056e-06
             6e-07             1e-08     3.517583e-193            128484             400.3         0.8949085      6.978371e-09         0.3690328         1.531e-06         1.531e-06
           6.1e-07             1e-08    -3.822773e-192          124005.7          300.0023         0.8949102      7.326007e-09          0.394481      1.000044e-06      1.000064e-06
           6.2e-07             1e-08    -1.177254e-192            128636             403.7          0.894912      7.697384e-09         0.3944493         1.549e-06         1.549e-06
           6.3e-07             1e-08    -5.803294e-192          124006.3          300.0026         0.8949137        8.0687e-09         0.4207434      1.000051e-06      1.000073e-06
           6.4e-07             1e-08    -9.874179e-193            128788             407.1         0.8949156      8.464543e-09         0.4207082         1.567e-06         1.567e-06
           6.5e-07             1e-08    -2.175216e-192            124007          300.0029         0.8949175       8.86032e-09          0.447848      1.000057e-06      1.000083e-06
           6.6e-07             1e-08     4.493339e-192            128940             410.5         0.8949195       9.28141e-09         0.4478091         1.585e-06         1.585e-06
           6.7e-07             1e-08     -1.19278e-191          124007.7          300.0033         0.8949215      9.702426e-09         0.4757943      1.000065e-06      1.000094e-06
           6.8e-07             1e-08     4.756075e-191            129092             413.9         0.8949236      1.014954e-08         0.4757515         1.603e-06         1.603e-06
           6.9e-07             1e-08    -9.993642e-191          124008.4          300.0037         0.8949257      1.059657e-08         0.5045818      1.000073e-06      1.000106e-06
             7e-07             1e-08     1.635258e-191            129244             417.3          0.894928      1.107049e-08         0.5045348         1.621e-06         1.621e-06
           7.1e-07             1e-08     5.026022e-191          124009.2          300.0042         0.8949302      1.154432e-08         0.5342101      1.000082e-06      1.000119e-06
           7.2e-07             1e-08    -2.692734e-190            129396             420.7         0.8949326      1.204582e-08         0.5341586         1.639e-06         1.639e-06
           7.3e-07             1e-08    -4.718236e-190          124010.1          300.0046          0.894935      1.254722e-08         0.5646785      1.000092e-06      1.000133e-06
           7.4e-07             1e-08     -3.59287e-190            129548             424.1         0.8949375      1.307707e-08         0.5646222         1.657e-06         1.657e-06
           7.5e-07             1e-08    -6.759914e-190            124011          300.0051         0.8949401      1.360682e-08         0.5959865      1.000103e-06      1.000149e-06
           7.6e-07             1e-08     9.070381e-190            129700             427.5         0.8949427       1.41658e-08         0.5959252         1.675e-06         1.675e-06
           7.7e-07             1e-08     1.579378e-189          124011.9          300.0056         0.8949454      1.472467e-08         0.6281336      1.000115e-06      1.000166e-06
           7.8e-07             1e-08     1.972108e-189            129852             430.9         0.8949482      1.531356e-08         0.6280669         1.693e-06         1.693e-06
           7.9e-07             1e-08     1.604814e-189          124012.9          300.0062          0.894951      1.590232e-08         0.6611191      1.000128e-06      1.000185e-06
             8e-07             1e-08     3.035927e-189            130004             434.3         0.8949539      1.652188e-08         0.6610468         1.711e-06         1.711e-06
           8.1e-07             1e-08    -3.940494e-189            124014          300.0068         0.8949569      1.714131e-08         0.6949424      1.000142e-06      1.000206e-06
           8.2e-07             1e-08    -5.577627e-189            130156             437.7           0.89496      1.779232e-08         0.6948642         1.729e-06         1.729e-06
           8.3e-07             1e-08     2.165083e-190          124015.1          300.0074         0.8949631      1.844318e-08          0.729603      1.000158e-06      1.000228e-06
           8.4e-07             1e-08     3.227513e-189            130308             441.1         0.8949664      1.912641e-08         0.7295185         1.747e-06         1.747e-06
           8.5e-07             1e-08     3.093399e-190          124016.3          300.0081         0.8949696      1.980948e-08         0.7651002      1.000174e-06      1.000253e-06
           8.6e-07             1e-08     1.335081e-188            130460             444.5          0.894973       2.05257e-08         0.7650091         1.765e-06         1.765e-06
           8.7e-07             1e-08     3.584872e-190          124017.5          300.0088         0.8949764      2.124174e-08         0.8014333      1.000193e-06      1.000279e-06
           8.8e-07             1e-08    -6.289209e-189            130612             447.9           0.89498      2.199171e-08         0.8013353         1.783e-06         1.783e-06
           8.9e-07             1e-08    -5.233386e-189          124018.8          300.0095         0.8949836      2.274149e-08         0.8386017      1.000212e-06      1.000308e-06
             9e-07             1e-08     1.577018e-188            130764             451.3         0.8949873      2.352598e-08         0.8384965         1.801e-06         1.801e-06
           9.1e-07             1e-08    -1.768096e-188          124020.2          300.0103         0.8949911      2.431027e-08         0.8766047      1.000234e-06      1.000339e-06
           9.2e-07             1e-08     -2.23045e-188            130916             454.7          0.894995      2.513004e-08         0.8764919         1.819e-06         1.819e-06
           9.3e-07             1e-08     9.887705e-188          124021.6          300.0111         0.8949989       2.59496e-08         0.9154416      1.000257e-06      1.000372e-06
           9.4e-07             1e-08     3.263592e-187            131068             458.1          0.895003      2.680543e-08         0.9153208         1.837e-06         1.837e-06
           9.5e-07             1e-08    -2.832673e-188          124023.1           300.012         0.8950071      2.766102e-08         0.9551117      1.000281e-06      1.000408e-06
           9.6e-07             1e-08     1.849495e-187            131220             461.5         0.8950113      2.855365e-08         0.9549826         1.855e-06         1.855e-06
           9.7e-07             1e-08    -3.580447e-188          124024.7          300.0129         0.8950156      2.944604e-08         0.9956142      1.000308e-06      1.000447e-06
           9.8e-07             1e-08     3.101733e-188            131372             464.9           0.89502      3.037625e-08         0.9954764         1.873e-06         1.873e-06
           9.9e-07             1e-08     9.377975e-187          124026.3          300.0139         0.8950245      3.130619e-08          1.036948      1.000337e-06      1.000489e-06
             1e-06             1e-08     4.491598e-187            131524             468.3         0.8950291      3.227472e-08          1.036802         1.891e-06         1.891e-06
          1.01e-06             1e-08     1.740877e-186            124028          300.0148         0.8950337      3.324298e-08          1.079114      1.000368e-06      1.000533e-06
          1.02e-06             1e-08     1.904419e-186            131676             471.7         0.8950385       3.42506e-08          1.078957         1.909e-06         1.909e-06
          1.03e-06             1e-08     8.814734e-187          124029.7          300.0159         0.8950433      3.525793e-08          1.122109      1.000401e-06      1.000582e-06
          1.04e-06             1e-08     7.677266e-187            131828             475.1         0.8950483       3.63054e-08          1.121943         1.927e-06         1.927e-06
          1.05e-06             1e-08     1.554817e-186          124031.6           300.017         0.8950533      3.735255e-08          1.165934      1.000437e-06      1.000633e-06
          1.06e-06             1e-08     3.047932e-186            131980             478.5         0.8950585      3.844062e-08          1.165757         1.945e-06         1.945e-06
          1.07e-06             1e-08     3.490984e-186          124033.5          300.0181         0.8950637      3.952835e-08          1.210587      1.000475e-06      1.000689e-06
          1.08e-06             1e-08    -3.012351e-187            132132             481.9         0.8950691      4.065777e-08            1.2104         1.963e-06         1.963e-06
          1.09e-06             1e-08      4.97032e-187          124035.5          300.0193         0.8950745      4.178684e-08          1.256068      1.000516e-06      1.000748e-06
           1.1e-06             1e-08     1.022902e-185            132284             485.3         0.8950801      4.295836e-08           1.25587         1.981e-06         1.981e-06
          1.11e-06             1e-08     3.989594e-186          124037.5          300.0205         0.8950857      4.412951e-08          1.302376      1.000559e-06      1.000811e-06
          1.12e-06             1e-08     6.747245e-187            132436             488.7         0.8950915      4.534388e-08          1.302166         1.999e-06         1.999e-06
          1.13e-06             1e-08     1.458798e-185          124039.7          300.0218         0.8950973      4.655786e-08           1.34951      1.000606e-06      1.000878e-06
          1.14e-06             1e-08     1.246404e-186            132588             492.1         0.8951033      4.781584e-08          1.349288         2.017e-06         2.017e-06
          1.15e-06             1e-08     1.889154e-185          124041.9          300.0231         0.8951093       4.90734e-08          1.397469      1.000656e-06       1.00095e-06
          1.16e-06             1e-08     1.344159e-185            132740             495.5         0.8951156      5.037572e-08          1.397235         2.035e-06         2.035e-06
          1.17e-06             1e-08     1.208658e-185          124044.2          300.0245         0.8951218       5.16776e-08          1.446253      1.000708e-06      1.001027e-06
          1.18e-06             1e-08    -1.200871e-185            132892             498.9         0.8951282      5.302502e-08          1.446006         2.053e-06         2.053e-06
          1.19e-06             1e-08    -1.055853e-185          124046.6          300.0259         0.8951347      5.437197e-08          1.495859      1.000765e-06      1.001109e-06
           1.2e-06             1e-08    -3.729447e-185            133044             502.3         0.8951413      5.576523e-08          1.495599         2.071e-06         2.071e-06
          1.21e-06             1e-08    -2.154452e-185            124049          300.0274          0.895148      5.715799e-08          1.546289      1.000825e-06      1.001196e-06
          1.22e-06             1e-08    -3.945628e-185            133196             505.7         0.8951549      5.859782e-08          1.546015         2.089e-06         2.089e-06
          1.23e-06             1e-08    -5.963377e-186          124051.6           300.029         0.8951618      6.003713e-08           1.59754      1.000888e-06      1.001288e-06
          1.24e-06             1e-08    -1.685162e-184            133348             509.1         0.8951689      6.152427e-08          1.597252         2.107e-06         2.107e-06
          1.25e-06             1e-08    -7.754231e-185          124054.2          300.0306          0.895176      6.301087e-08          1.649611      1.000956e-06      1.001386e-06
          1.26e-06             1e-08    -8.272679e-185            133500             512.5         0.8951833      6.454607e-08          1.649308         2.125e-06         2.125e-06
          1.27e-06             1e-08    -4.257161e-184          124056.9          300.0322         0.8951907      6.608069e-08          1.702502      1.001027e-06       1.00149e-06
          1.28e-06             1e-08     -1.96034e-184            133652             515.9         0.8951982      6.766468e-08          1.702184         2.143e-06         2.143e-06
          1.29e-06             1e-08    -4.703118e-184          124059.7          300.0339         0.8952058      6.924806e-08          1.756212      1.001103e-06        1.0016e-06
