# Result of the experimentation with args: 1
#                 x                 y           is_wall          pressure            temper          vol_mass           speed_1           speed_2

                 0               151                 0           1110165          2404.878                 1                 0         -0.572781
                 0               152                 0           1089620          2360.401                 1                 0        -0.5608689
                 0               153                 0           1069074          2315.925                 1                 0        -0.5489568
                 0               154                 0           1048529          2271.448                 1                 0        -0.5370446
                 0               155                 0           1027984          2226.971                 1                 0        -0.5251325
                 0               156                 0           1007439          2182.495                 1                 0        -0.5132204
                 0               157                 0          986894.1          2138.018                 1                 0        -0.5013083
                 0               158                 0            966349          2093.542                 1                 0        -0.4893962
                 0               159                 0          945803.9          2049.065                 1                 0        -0.4774841
                 0               160                 0          925258.8          2004.588                 1                 0         -0.465572
                 0               161                 0          904713.7          1960.112                 1                 0        -0.4536599
                 0               162                 0          884168.6          1915.635                 1                 0        -0.4417478
                 0               163                 0          863623.5          1871.158                 1                 0        -0.4298357
                 0               164                 0          843078.4          1826.682                 1                 0        -0.4179236
                 0               165                 0          822533.3          1782.205                 1                 0        -0.4060115
                 0               166                 0          801988.2          1737.728                 1                 0        -0.3940994
                 0               167                 0          781443.1          1693.252                 1                 0        -0.3821873
                 0               168                 0          760898.1          1648.775                 1                 0        -0.3702752
                 0               169                 0          740352.9          1604.299                 1                 0        -0.3583631
                 0               170                 0          719807.8          1559.822                 1                 0         -0.346451
                 0               171                 0          699262.7          1515.345                 1                 0        -0.3345389
                 0               172                 0          678717.6          1470.869                 1                 0        -0.3226268
                 0               173                 0          658172.6          1426.392                 1                 0        -0.3107147
                 0               174                 0          637627.4          1381.916                 1                 0        -0.2988026
                 0               175                 0          617082.3          1337.439                 1                 0        -0.2868905
                 0               176                 0          596537.2          1292.962                 1                 0        -0.2749783
                 0               177                 0          575992.1          1248.486                 1                 0        -0.2630663
                 0               178                 0          555447.1          1204.009                 1                 0        -0.2511542
                 0               179                 0          534901.9          1159.532                 1                 0         -0.239242
                 0               180                 0          514356.8          1115.056                 1                 0          -0.22733
                 0               181                 0          493811.8          1070.579                 1                 0        -0.2154179
                 0               182                 0          473266.7          1026.103                 1                 0        -0.2035058
                 0               183                 0          452721.6          981.6259                 1                 0        -0.1915937
                 0               184                 0          432176.5          937.1493                 1                 0        -0.1796815
                 0               185                 0          411631.3          892.6727                 1                 0        -0.1677694
                 0               186                 0          391086.3           848.196                 1                 0        -0.1558573
                 0               187                 0          370541.2          803.7194                 1                 0        -0.1439452
                 0               188                 0          349996.1          759.2429                 1                 0        -0.1320331
                 0               189                 0            329451          714.7662                 1                 0         -0.120121
                 0               190                 0          308905.9          670.2896                 1                 0        -0.1082089
                 0               191                 0          288360.8           625.813                 1                 0       -0.09629682
                 0               192                 0          267815.7          581.3364                 1                 0       -0.08438472
                 0               193                 0          247270.6          536.8597                 1                 0       -0.07247262
                 0               194                 0          226725.5          492.3831                 1                 0       -0.06056051
                 0               195                 0          206180.4          447.9065                 1                 0       -0.04864841
                 0               196                 0          185635.3          403.4298                 1                 0       -0.03673631
                 0               197                 0          165090.2          358.9532                 1                 0       -0.02482421
                 0               198                 0          144545.1          314.4766                 1                 0        -0.0129121
                 0               199                 0            124000               270                 1                 0            -0.001

                 1                 0                 0            124000               270                 1                 0            -0.001
                 1                 1                 0          132658.3          288.7437                 1                 0        -0.0060201
                 1                 2                 0          141316.6          307.4874                 1                 0        -0.0110402
                 1                 3                 0          149974.9          326.2312                 1                 0        -0.0160603
                 1                 4                 0          158633.2          344.9749                 1                 0        -0.0210804
                 1                 5                 0          167291.5          363.7186                 1                 0        -0.0261005
                 1                 6                 0          175949.8          382.4623                 1                 0        -0.0311206
                 1                 7                 0            184608           401.206                 1                 0        -0.0361407
                 1                 8                 0          193266.3          419.9497                 1                 0        -0.0411608
                 1                 9                 0          201924.6          438.6935                 1                 0        -0.0461809
                 1                10                 0          210582.9          457.4372                 1                 0         -0.051201
                 1                11                 0          219241.2          476.1809                 1                 0       -0.05622111
                 1                12                 0          227899.5          494.9246                 1                 0       -0.06124121
                 1                13                 0          236557.8          513.6683                 1                 0       -0.06626131
                 1                14                 0          245216.1           532.412                 1                 0       -0.07128141
                 1                15                 0          253874.4          551.1558                 1                 0       -0.07630151
                 1                16                 0          262532.7          569.8995                 1                 0       -0.08132161
                 1                17                 0            271191          588.6432                 1                 0        -0.0863417
                 1                18                 0          279849.2           607.387                 1                 0       -0.09136181
                 1                19                 0          288507.5          626.1307                 1                 0       -0.09638191
                 1                20                 0          297165.8          644.8744                 1                 0         -0.101402
                 1                21                 0          305824.1          663.6181                 1                 0        -0.1064221
                 1                22                 0          314482.4          682.3618                 1                 0        -0.1114422
                 1                23                 0          323140.7          701.1055                 1                 0        -0.1164623
                 1                24                 0            331799          719.8492                 1                 0        -0.1214824
                 1                25                 0          340457.3           738.593                 1                 0        -0.1265025
                 1                26                 0          349115.6          757.3367                 1                 0        -0.1315226
                 1                27                 0          357773.9          776.0804                 1                 0        -0.1365427
                 1                28                 0          366432.2          794.8241                 1                 0        -0.1415628
                 1                29                 0          375090.4          813.5678                 1                 0        -0.1465829
                 1                30                 0          383748.8          832.3116                 1                 0         -0.151603
                 1                31                 0            392407          851.0553                 1                 0        -0.1566231
                 1                32                 0          401065.3           869.799                 1                 0        -0.1616432
                 1                33                 0          409723.6          888.5427                 1                 0        -0.1666633
                 1                34                 0          418381.9          907.2864                 1                 0        -0.1716834
                 1                35                 0          427040.2          926.0302                 1                 0        -0.1767035
                 1                36                 0          435698.5          944.7739                 1                 0        -0.1817236
                 1                37                 0          444356.8          963.5176                 1                 0        -0.1867437
                 1                38                 0          453015.1          982.2613                 1                 0        -0.1917638
                 1                39                 0          461673.4          1001.005                 1                 0        -0.1967839
                 1                40                 0          470331.7          1019.749                 1                 0         -0.201804
                 1                41                 0          478989.9          1038.492                 1                 0        -0.2068241
                 1                42                 0          487648.2          1057.236                 1                 0        -0.2118442
                 1                43                 0          496306.5           1075.98                 1                 0        -0.2168643
                 1                44                 0          504964.8          1094.724                 1                 0        -0.2218844
                 1                45                 0          513623.1          1113.467                 1                 0        -0.2269045
                 1                46                 0          522281.4          1132.211                 1                 0        -0.2319246
                 1                47                 0          530939.7          1150.955                 1                 0        -0.2369447
                 1                48                 0            539598          1169.698                 1                 0        -0.2419648
                 1                49                 0          548256.3          1188.442                 1                 0        -0.2469849
                 1                50                 0          556914.6          1207.186                 1                 0         -0.252005
                 1                51                 0          565572.9           1225.93                 1                 0        -0.2570251
                 1                52                 0          574231.1          1244.673                 1                 0        -0.2620452
                 1                53                 0          582889.4          1263.417                 1                 0        -0.2670653
                 1                54                 0          591547.8          1282.161                 1                 0        -0.2720854
                 1                55                 0            600206          1300.905                 1                 0        -0.2771055
                 1                56                 0          608864.3          1319.648                 1                 0        -0.2821256
                 1                57                 0          617522.6          1338.392                 1                 0        -0.2871457
