# Result of the experimentation with args: 1
#                 x                 y           is_wall          pressure            temper          vol_mass           speed_1           speed_2           turb_en          turb_dis

              0.04              0.07                 0            150044          321.1404          1.011547          -1.55945          -19.8408      0.0001206981      0.0001312353
              0.04              0.08                 0            147916          321.6358         0.9956649         -2.985248         -24.97799        0.00013023      0.0001466129
              0.04              0.09                 0          149849.6          324.7751         0.9989305         -4.557132         -16.04828      0.0001386738      0.0001616381
              0.04        0.09999999                 0          145710.3          323.9194         0.9739031         -4.843177         -26.23772      0.0002760138       0.000434251
              0.04              0.11                 0          149375.2          328.1992         0.9853793         -9.606995         -13.31423      0.0001991072      0.0003082753
              0.04              0.12                 0          144226.2          326.4949         0.9563793         -5.885032         -27.58092       0.001047513       0.003020087
              0.04              0.13                 0          150272.7          332.4613         0.9785919         -17.05938          -11.0919      0.0009827451       0.005538927
              0.04              0.14                 0          143235.7           329.248          0.941869         -7.668569         -32.48504         0.0144832          0.124996
              0.04              0.15                 0          152601.9          337.5037         0.9789124         -31.87453         -8.372664        0.03589532         0.3593816
              0.04              0.16                 0          142428.1          331.8038         0.9293447         -4.217936         -51.66439       0.003634281        0.01817669
              0.04              0.17                 0          157173.8             344.7         0.9871912          1.125153         -6.195138       0.005966975        0.08851772
              0.04              0.18                 0          141816.4           334.427         0.9180949          8.618724         -43.75218        0.08470538           1.62102
              0.04              0.19                 0            161661               350                 1                 0                 0            0.0001            0.0001

              0.05                 0                 0          147753.7          307.8466          1.039122       -0.02865216          -18.3115            0.0001            0.0001
              0.05              0.01                 0          147753.7          307.8466          1.039122       -0.02865216          -18.3115      0.0001846356      0.0002419077
              0.05              0.02                 0          148880.8          310.6427          1.037624       -0.06747087         -20.93293      0.0001732267      0.0002218649
              0.05              0.03                 0          148783.2          312.6608          1.030251        -0.1435038         -20.60413      0.0001547611      0.0001881562
              0.05              0.04                 0          149605.2          314.9972          1.028259        -0.2894355         -23.25157      0.0001493539      0.0001789391
              0.05              0.05                 0          149459.7          316.9567          1.020908        -0.4844232         -21.70596      0.0001331769      0.0001513443
              0.05              0.06                 0          149422.5          318.7672          1.014857        -0.9570486         -24.35798      0.0001264951      0.0001406525
              0.05              0.07                 0            150072          321.1589          1.011678         -1.293958         -20.08207      0.0001166166      0.0001248443
              0.05              0.08                 0          148079.2          321.7414         0.9964365         -2.273706         -25.07701      0.0001160221      0.0001240233
              0.05              0.09                 0          149889.8          324.8055         0.9991051         -3.154009         -16.70138      0.0001218306      0.0001333008
              0.05        0.09999999                 0          146021.7          324.1339         0.9753387         -3.718073         -26.36397      0.0001691392       0.000213855
              0.05              0.11                 0          149396.8          328.2237         0.9854481         -6.824532         -14.45258      0.0001368855      0.0001594503
              0.05              0.12                 0          144494.9          326.7168         0.9575101         -4.167534         -27.68985      0.0002991415      0.0004785304
              0.05              0.13                 0          150276.1          332.4769         0.9785679          -11.1745         -12.39801      0.0002578093      0.0002950984
              0.05              0.14                 0          143091.2          329.2836          0.940817         -3.333567         -32.71659       0.000341115      0.0004967686
              0.05              0.15                 0          152808.7          337.6705         0.9797549         -13.73916         -10.61784        0.01198466          0.103065
              0.05              0.16                 0          142147.7          331.9825         0.9270156         -0.877838         -50.59489       0.002141397       0.006305305
              0.05              0.17                 0          157440.1          344.7539         0.9887092          -5.79393          -9.40865       0.001382118       0.008899233
              0.05              0.18                 0          141069.8          333.7494         0.9151157          1.408795         -43.26271       0.009390034        0.07738933
              0.05              0.19                 0            161661               350                 1                 0                 0            0.0001            0.0001

              0.06                 0                 0          147774.8          307.8597          1.039226       -0.02858194         -18.34835            0.0001            0.0001
              0.06              0.01                 0          147774.8          307.8597          1.039226       -0.02858194         -18.34835      0.0001853152       0.000243194
              0.06              0.02                 0          148932.7          310.6742           1.03788        -0.0668908         -21.04464      0.0001744478      0.0002241315
              0.06              0.03                 0          148864.3          312.7115          1.030645        -0.1426286         -20.81307      0.0001569525      0.0001920323
